                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                0.52846,                0.66032,                0.49146,                0.87353,                0.96199,                0.95244,                0.97392,                0.85107,                0.96199,                0.95244,                0.97392,                 0.8453,                0.57526,                0.69658,                 0.4018,                0.89398,             0.00040623,             0.00040623,             0.00040623
                     26,                0.52426,                0.64342,                 0.4888,                0.86533,                0.94815,                0.94336,                0.97128,                0.84242,                0.94815,                0.94336,                0.97128,                0.84935,                0.58309,                0.72691,                0.40339,                0.89887,             0.00040102,             0.00040102,             0.00040102
                     27,                0.53086,                0.66135,                0.49899,                 0.8676,                0.92101,                0.93802,                0.95317,                0.83939,                0.92101,                0.93802,                0.95317,                0.83733,                0.58157,                0.87427,                0.49561,                 0.8976,             0.00039581,             0.00039581,             0.00039581
                     28,                0.51399,                0.64791,                0.47964,                0.86395,                0.94422,                0.95313,                0.97288,                0.83765,                0.94422,                0.95313,                0.97288,                0.85519,                0.59518,                0.70249,                0.40723,                0.90353,             0.00039061,             0.00039061,             0.00039061
                     29,                0.51316,                0.65373,                0.45592,                0.86287,                0.96876,                0.94419,                0.96622,                0.83241,                0.96876,                0.94419,                0.96622,                0.84156,                0.60411,                0.70059,                0.45996,                0.91035,              0.0003854,              0.0003854,              0.0003854
                     30,                0.51245,                0.65498,                0.47297,                0.85997,                0.94384,                0.96744,                0.96879,                0.83828,                0.94384,                0.96744,                0.96879,                0.84883,                0.61019,                0.70981,                0.41256,                0.91299,             0.00038019,             0.00038019,             0.00038019
                     31,                0.50313,                0.63368,                 0.4489,                0.86246,                0.96204,                0.95251,                0.96696,                 0.8468,                0.96204,                0.95251,                0.96696,                0.84423,                0.58314,                0.70799,                0.40947,                0.89743,             0.00037499,             0.00037499,             0.00037499
                     32,                0.49927,                 0.6358,                0.44175,                0.85564,                0.94365,                0.95375,                0.97292,                0.85026,                0.94365,                0.95375,                0.97292,                0.85262,                0.57652,                0.71639,                0.39899,                0.89565,             0.00036978,             0.00036978,             0.00036978
                     33,                0.49805,                0.63968,                0.45645,                0.85393,                0.95639,                0.96022,                0.97704,                0.85841,                0.95639,                0.96022,                0.97704,                0.85951,                0.58134,                0.70517,                0.38233,                0.89757,             0.00036457,             0.00036457,             0.00036457
                     34,                0.50445,                0.64507,                0.44603,                0.86485,                 0.9601,                0.95903,                0.96708,                0.84964,                 0.9601,                0.95903,                0.96708,                0.85322,                0.58126,                0.70304,                0.37582,                0.89842,             0.00035936,             0.00035936,             0.00035936
                     35,                0.48038,                0.62743,                0.43562,                0.86364,                0.95813,                0.94244,                0.97676,                 0.8463,                0.95813,                0.94244,                0.97294,                 0.8553,                0.62215,                0.75615,                0.38113,                0.90956,             0.00035416,             0.00035416,             0.00035416
                     36,                0.48275,                0.63324,                0.42376,                0.85566,                0.95181,                0.96202,                0.97327,                0.84769,                0.95181,                0.96202,                0.97131,                0.85542,                0.59306,                0.84132,                0.40381,                0.89803,             0.00034895,             0.00034895,             0.00034895
                     37,                0.48804,                0.62548,                0.44235,                0.85912,                0.96329,                0.96892,                0.97845,                0.85631,                0.96329,                0.96892,                 0.9769,                0.85431,                0.60163,                0.75219,                0.36495,                0.90308,             0.00034374,             0.00034374,             0.00034374
                     38,                0.47192,                0.60823,                0.41674,                0.85337,                0.94908,                0.96668,                0.97547,                0.85387,                0.94908,                0.96668,                0.97547,                0.86166,                0.59024,                0.96481,                0.39939,                0.91152,             0.00033853,             0.00033853,             0.00033853
                     39,                0.49892,                 0.6768,                 0.4397,                0.85615,                0.96554,                0.96754,                0.97009,                0.85778,                0.96554,                0.96754,                0.97009,                0.85016,                0.59393,                 1.2517,                0.42858,                0.90551,             0.00033333,             0.00033333,             0.00033333
                     40,                0.46944,                0.60418,                0.42603,                0.85181,                0.96487,                0.96327,                0.97037,                0.85477,                0.96487,                0.96327,                0.97037,                0.85905,                0.59585,                0.89319,                 0.4111,                0.89653,             0.00032812,             0.00032812,             0.00032812
